answer,choices,question,subject
2,"[dad's silence, mom's help, dad's love, mom's words]","When I was young, my father used to grow carnations  ----- a kind of flower which was red, pink and white. He took care of them with much love and devotion. Every day he came back home from work, he would enjoy watching them. Everyone who saw them admired them for their beauty. And he used to tell us, ""No one should touch my flowers."" One day, my younger sister Clemence, who loved dad very much, wanted to help him. So she cut the carnations from their stems  one by one and arranged them on the ground. She believed that dad would be very pleased to see them that way. When mom and I realized what my sister had done, we became completely speechless. However, my sister had no idea why no one showed her any appreciation. When my dad arrived, he went straight to see the flowers as usual. Seeing his flowers lying on the ground like dead animals, he was shocked at first. He looked towards the street to see if it was any of the neighbor's children who could have done it. Then he looked at mom in silence. Finally mom, who always taught us to tell the truth no matter what, said, ""No bad neighbors did this great job, only your lovely daughter Clemence."" Dad's face changed into a smile and then he said, ""Do I have a better flower than my lovely daughter?"" My younger sister smiled and hugged dad strongly. What caused my younger sister to smile and hug dad strongly?",""
3,"[teach her friends, look for a husband, decide if a person will do something wrong, told what kind of person the writer is from his handwriting]","Michele Langlois is a young Canadian who works for the police as a handwriting expert. She has helped catch many criminals by using her special skill. When she was only fourteen, Michel was already so interested in the differences in her school friends' handwriting that she would spend hours studying them. After finishing college she went to prefix = st1 /Francefor a special two-year class to learn how to analyze handwriting at theSchoolofPolice Science. On her return, she began her work for theQuebecpolice. Michele says that it is impossible for people to disguise their handwriting. She can discover most of what she needs to know simply by looking at the writing with her own eyes, but she also has machines that help her analyze different kinds of paper and ink. This knowledge is often of help to the police. Michele also believes that handwriting is a good sign of the kind of person the writer is. ""I wouldn't go out with a fellow if I didn't like his handwriting,"" she says. But she adds that she fell in love with her future husband, William Smith before she studied his handwriting. _ later proved to be all right, however. Besides helping the police Michele uses her skill to   _  .",""
0,"[Safety., Speed., Size., Design.]","Many people have long dreamed of being able to fly around as simply as riding a bicycle.  Yet the safety and strength of a flying bike was always a big problem. Over the past 10 years, developments in technology have moved the dream of personal flying vehicles closer to reality. Now, two groups of inventors say such vehicles may be available very soon. Grant Stapleton from Malloy Aeronautics says the Hoverbike, which is able to get in and out of small spaces very quickly, will be a truly personal flying vehicle.  ""It can be moved across continents very quickly because it can be folded and packed,"" he adds. Mr. Stapleton says safety was the company's main concern when developing the Hoverbike. He ays the designers solved the safety issue by using overlapping rotors     to power the vehicle.  The company is testing both a one-third size model and a full-size prototype     of the Hoverbike. Inventors say their Hoverbike will most likely be used first by the police and emergency rescue teams. In New Zealand,  the Martin Aircraft Company is also testing a full-size prototype of its personal flying bike, called Jetpack. It can fly for more than 30 minutes, up t0 1,000 meters high and reach a speed of 74 kilometers per hour. Peter Coker is the CEO of Martin Aircraft Company.  He said Jetpack ""is built around safety from the start, "" In his words, ""reliability is the most important part of it.  We have safety built into the actual structure itself, very similar to a Formula One racing car. "" Jetpack uses a gasoline-powered engine that produces two powerful jet streams.  Mr. Coker says it also has a parachute   that can be used should there be an emergency. ""It opens at a very low altitude and actually saves both the aircraft and the pilot in an emergency,"" he adds. What's the main concern the two companies share?",""
2,"[she had been there only once, Mr King was not in the office, nobody was doing any work, the office had a new appearance]","It was a quarter past nine as Marie hurried into the office building where she was going to work. Her bus had inched along through heavy morning traffic, making her a few minutes late for her very first job. She decided to start out half an hour earlier the next day   Once inside the lobby, she had to stand at the elevators and wait several minutes before she could get on one going to the sixth floor. When she finally reached the office marked ""King Enterprises"", she knocked at the door nervously and waited. There was no answer. She tapped on the door again, but still, there was no reply. From inside the next office, she could hear the sound of voices, so she opened the door and went in. Although she was sure it was the same office she had been in two weeks before when she had had the interview with Mr King, it looked quite different now. In fact, it hardly looked like an office at all. The employees were just standing around chatting and smoking. At the far end of the room, somebody must have just told a good joke, she thought, because there was a loud burst of laughter as she came in.  For a moment she had thought they were laughing at her. Then one of the men looked at his watch, clapped his hands and said something to the others. Quickly they all went to their desks and, in a matter of seconds, everyone was hard at work. No one paid any attention to Marie.  Finally she went up to the man who was sitting at the desk nearest to the door and explained that this was her first day in the office. Hardly looking up from his work, he told her to have a seat and wait for Mr King, who would arrive at any moment. Then Marie realised that the day's work in the office began just before Mr King arrived.  Later she found out that he lived in Connecticut and came into Manhattan on the same train every morning, arriving in the office at 9:35, so that his staff knew exactly when to start working. Marie could hardly recognize the office she went into as  _  .",""
2,"[They are doubtful., They are unacceptable., They help her to stop feeling worried., They have taught her a good lesson.]","Over the holidays, I took my three young children into a fancy chocolate shop to buy gifts. Halfway home, I noticed my 7-year-old son playing with a plastic noisemaker. Long story short: He had stolen the toy. I kept my cool -- even when he said, ""but it was only $1.50, Mom!"" --and explained why it was unacceptable to take things we didn't buy. A few hours later, I marched my son back to the store with two dollars from his piggy bank. He walked embarrassedly to the counter and told the clerk that he had taken something without paying for it, that he was sorry to break it and that he would pay for it now. I know exactly how terrible he was feeling. Returning to the scene of the crime is the same shame-causing punishment I received when I was five and stole something from a store. 1 remember my dad sending me back to return the item. It remains one of my clearest child- hood memories. After that day, I never stole again. My dad taught me such an important lesson 30 years ago and I saw an opportunity to do the same for my son. But now I wonder if it was the fight thing to do. ""Returning to the store is absolutely the right thing to do,"" Laura Markham, Ph.D., a child psychologist and author of Peaceful Parent, Happy Kids, says. ""Many children steal -- they' re not born knowing the rules so it' s our job to teach them."" And stay calm when you set them. ""If you overreact or yell, you might create a fascination with the behavior and a willful child will be more likely to fight against you,"" she  says. Having a child physically return the stolen item helps him or her grasp the situation -- and the consequence. But don't talk about it for too long. ""lf you continuously bring up the incident, the child will believe they' re a thief and that they' re bad,"" she says. Only time will tell if this experience will have the same powerful effect on my son as it had on me, but at the same time I can rest if I haven' t dealt with the situation badly. What does the author think of Laura Markham' s words?",""
1,"[Yes, because continued use of the programs by HDS would save at least $12,000 a year. , Yes, because HDS was continuing to use programs created by CP for which, as HDS knew, CP expected to be paid. , No, because failure of an express condition precedent excused HDS from any duty to compensate CP. , No, because such a recovery by CP would be inconsistent with a claim by HDS against CP for breach of contract]","On March 1, Computer Programs, Inc. (CP) orally agreed with Holiday Department Store (HDS) to write a set of programs for HDS's computer and to coordinate the programs with HDS's billing methods. A subsequent memo, signed by both parties, provided in its entirety: HDS will pay CP $20,000 in two equal installments within one month of completion if CP is successful in shortening by one-half the 17 processing time for the financial transactions now handled on HDS's Zenon 747 computer; CP to complete by July 1. This agreement may be amended only by a signed writing. On June 6, CP demanded $10,000, saying the job was one-half done. After HDS denied liability, the parties orally agreed that HDS should deposit $20,000 in escrow, pending completion to the satisfaction of HDS's computer systems manager. The escrow deposit was thereupon made. On July 5, CP completed the programs, having used an amount of time in which it could have earned $18,000 had it devoted that time to other jobs. Tests by CP and HDS's computer systems manager then showed that the computer programs, not being perfectly coordinated with HDS's billing methods, cut processing time by only 47 percent. They would, however, save HDS $12,000 a year. Further, if HDS would spend $5,000 to change its invoice preparation methods, as recommended by CP, the programs would cut processing time by a total of 58 percent, saving HDS another $8,000 a year. HDS's computer systems manager refused in good faith to certify satisfactory completion. HDS asked the escrow agent to return the $20,000 and asserted that nothing was owed to CP even though HDS continued to use the programs""Assume for this question only that CP was in breach of contract because of its four-day delay in completion and that an express condition precedent to HDS's duty to pay the contract 18 price has failed. Can CP nevertheless recover the reasonable value of its service?",""
3,"[searching for poems online, drawing the background by hand, painting the letters in three color1s, matching the words with pictures]","What makes a gift special? Is it the price you see on the gift cover? Or is it the look on the receiver's face when they receive it that determines the true value? What gift is worth the most? This Christmas I was thinking what to give my father. My dad is a hard person to buy for because he never wants anything. I pulled out my phone to read a text message from my mom saying that we were leaving for Christmas shopping for him when I came across a message on my phone that I had locked. The message was from my father. My eyes fell on a photo of a flower taken in Wyoming, and underneath a poem by William Blake. The flower, a lone dandelion  standing against the bright blue sky, inspired me. My dad had been reciting those words to me since I was a kid. That may even be the reason why I love writing. I decided that those words would be my gift to my father. I called back. I told my mom to go without me and that I already created my gift. I sent the photo of the cream-color1ed flower to my computer and typed the poem on top of it. As I was arranging the details another poem came to mind. The poem was written by Edgar Allan Poe; my dad recited it as much as he did the other. I typed that out as well and searched online for a background to the words of it. The poem was mainly about dreaming, and after searching I found the perfect picture. The picture was painted with blues and greens and purples, twisting together to create the theme and wonder of a dream. As I watched both poems passing through the printer, the white paper color1ing with words that shaped my childhood, I felt that this was a gift that my father would truly like. Christmas soon arrived. The minute I saw the look on my dad's face as he opened those swirling black letters carefully placed in a cheap frame , I knew I had given the perfect gift. The author made the gift by  _  .",""
0,"[was published by Peter Vegso, was Jack and Mark's own experiences, encouraged people to be speakers, told stories that happened in kitchens]","For years people had told our founders, motivational speakers Jack Canfield and Mark Victor Hansen, inspiring stories about themselves. Jack and Mark included these stories in their talks, and their audiences repeatedly asked if they had ever been published. Eventually, Jack and Mark decided to collect the best 101 stories they'd been told and put them in a book. They called itChicken Soup for the Soulbecause they wanted it to provide comfort, just like their grandmothers' cooking. They took the book to New York, hoping to sell it to one of the big publishers, but every single one turned them down. The project appeared to have _ until they met Peter Vegso. Peter read some of the stories and loved them, so he decided to give the book a chance, becomingChicken Soup for the Soulfounding publisher. Chicken Soup for the Soulturned into one of the most popular and loved books ever published, selling 11 million copies around the world. Today, we've published more than 250 books andChicken Soup for the Soulhas become the best-selling trade paperback book series of all time. People have connected withChicken Soup for the Soulbooks deeply. Years ago, we started getting letters from readers asking for more, not just more books, but other things, too. Jack and Mark recognized thatChicken Soup for the Soulhad grown into something much bigger than the book series they had created. So, in 2008, William Rouhana, Amy Newmark and Robert Jacobs boughtChicken Soup for the Soulfrom them. Today, we have a line of comfort foods, including healthy and balanced pet foods. We're online now with our forums, apps and a YouTube channel. We're working hard on a newChicken Soup for the SoulTV show and a movie. Meanwhile, we are still collecting stories from our readers and the public, just like we've done since the beginning. We have new books coming out almost every month. We're always looking for ways to share happiness, inspiration and wellness through everything we do. The firstChicken Soup for the Soul  _  .",""
2,"[To satisfy the victim, To create repeat offenders, To frighten future criminals, To take criminals out of society]","Almost everyone accepts the fact that crime can never be wiped out entirely. Thus control of crime becomes the focus of police and government around the world. The question lawmakers must answer is, ""Which system of criminal punishment works best for society?"" Each country has developed its own ideas for solution to this question, and these solutions then determine how criminals are punished under different systems. However, none of the current system in use has proved 100 percent effective. There are many ideas about punishment of criminals. Some systems look only to get retribution against criminals. These systems work to frighten criminals away from repeating a crime in the future. These systems also try to deter others in society by using the criminal as an example of what can happen to a person if he or she is caught committing crimes. Rehabilitation is another philosophy by which many systems of punishment operate. The goal of these systems is to return a former criminal to society after a required period of treatment and training, usually in prisons. The idea is to help change the person's behavior so that he or she becomes a law-abiding citizen. Capital punishment is another form of punishment which systems use in extreme criminal cases, sometimes involving such crimes as a murder, rape, and violent theft. In these cases, the person is put to death. Today, capital punishment is used in relatively few countries. Many countries have done away with it. In other words, capital punishment remains only in officially law books but is rarely used. However, capital punishment remains in use in some countries including the United States. When looking at the number of crimes committed, the effectiveness of any of these forms of punishment comes into question. In the United States, for example, 80 percent of the people arrested each year are male, and the majority of these are young men or boys. One-third of all auto thefts, robberies, and burglaries are committed by young men under the age of 18. Generally, young people have less responsibility in society, so they risk losing little if they are caught in a criminal activity. However, it can also be argued that today's youthful criminals do not fear the punishment they receive if caught by police. Current methods of criminal punishment do not serve the purpose of deterring young criminals in the United States. A major problem with the current system of rehabilitation in the United Stated is that most criminals return to crime after they have supposedly been rehabilitated. Two-thirds of those caught by police each year are repeat criminals. As a result of this fact, many people feel that rehabilitation of criminals is a lost cause. Since the late 1970s, many see retribution as a preferred punishment in criminal cases in the United States. What is the main purpose behind retribution?",""
3,"[low, small, white, gray]",On a rainy day the clouds are,""
