question,answer
"Zion is 8 years old and his dad is 3 more than 4 times his age. In 10 years, how many years older is Zion's dad than him?","How old is Zion? ** Four times Zion's age is 8 x 4 = <<8*4=32>>32.
How old is Zion's dad? ** So Zion's dad is 32 + 3 = <<32+3=35>>35 years old.
How old will Zion be in 10 years? ** In 10 years, Zion will be 8 + 10 = <<8+10=18>>18 years old.
How old will Zion's dad be in 10 years? ** In 10 years, Zion's dad will be 35 + 10 = <<35+10=45>>45 years old.
How many years older is Zion's dad than him? ** Hence, in 10 years, Zion's dad will be 45 - 18 = <<45-18=27>>27 years older than Zion.
#### 27"
A monkey swings from branch to branch at an average distance of 1.2 meters per second. How far will a monkey swing in meters if it consistently swings from branches for 30 minutes?,"How far can a monkey swing in a minute? ** If a monkey swings 1.2 meters a second then a monkey can swing 1.2 meters/second * 60 seconds/minute = <<1.2*60=72>>72 meters in a minute.
How far can a monkey swing in 30 minutes? ** If a monkey swings 72 meters in a minute then a monkey can swing 72 meters/min * 30 minutes = <<72*30=2160>>2,160 meters in 30 minutes
#### 2160"
"It takes a dog groomer 10 minutes to dry a short-haired dog like a beagle.  It takes him twice as long to dry a full-haired, fluffy dog like a german shepherd.  One morning, he has 6 short-haired dogs to dry and 9 full-haired dogs to dry.  How many hours does it take him to dry all of the dogs?","How long does it take to dry a full-haired dog? ** It takes 10 minutes to dry the coat of a short-haired dog and twice as long for a full haired dog so they take 10*2 = <<10*2=20>>20 minutes to dry
How long did it take to dry the short-haired dogs? ** He had 6 short hair dogs and they took 10 minutes to dry each so they took 6*10= <<6*10=60>>60 minutes to dry
How long did it take to dry the full-haired dogs? ** He had 9 full haired dogs that took 20 minutes to dry each so they took 9*20 = <<9*20=180>>180 minutes to dry
How many minutes does it take him to dry all of the dogs? ** Together is takes him 60+180 = <<60+180=240>>240 minutes to dry all of the dogs
How many hours did it take him to dry all of the dogs? ** 60 minutes are in 1 hour and he spends 240 minutes on the dogs so he worked for 240/60 = <<240/60=4>>4 hours drying the dogs
#### 4"
"Casey wants to decorate  her toenails and fingernails. First, she wants to do a base coat on each nail, then a coat of paint and finally a coat of glitter on every nail. It takes 20 minutes to apply each coat and 20 minutes for each coat to dry before applying the next one. Assuming Casey's nails will be done when all coats have been applied and dried,  how many minutes will it take her to finish decorating her fingernails and toenails?","How many nails does Casey want to paint? ** Casey wants to paint her 10 toenails + 10 fingernails = <<10+10=20>>20 nails in total.
How many minutes does it take to apply the first coat? ** First she wants to do a base coat which takes 20 minutes to apply + 20 minutes to dry = <<20+20=40>>40 minutes total for the first coat.
How many minutes will it take to paint her toenails and fingernails? ** It will take the same amount of time to do a coat of paint and let it dry and to do a coat of glitter and let it dry, 40 minutes x 3 different coats = <<40*3=120>>120 minutes total to paint her toenails and fingernails.
#### 120"
"Gary buys 4 chickens. After two years, he has 8 times as many chickens as he started with. If each chicken lays 6 eggs a day, how many eggs does Gary currently collect every week?","How many chickens does Gary have after two years? ** After two years, Gary has 4 * 8 = <<4*8=32>>32 chickens
How many eggs does Gary collect every day? ** Gary collects each day 32 chickens * 6 eggs per chicken = <<32*6=192>>192 eggs
How many eggs does Gary collect every week? ** In a week he collects 192 eggs per day * 7 days per week = <<192*7=1344>>1344 eggs
#### 1344"
"To let Ruth know how long her fish will live, her father tells her that well-cared fish can live 2 years longer than dogs live. On average, dogs live 4 times as long as hamsters live. And hamsters live an average of 2.5 years. How long can a fish live?","How long do dogs live? ** Knowing that dogs live 4 times the age of hamsters, dogs live 4 * 2.5 = <<4*2.5=10>>10 years.
How long can a fish live? ** If Ruth takes care of the fish, it can live 10 + 2 = <<10+2=12>>12 years.
#### 12"
James buys 2 puzzles that are 2000 pieces each.  He anticipates for these larger puzzles he can do 100 pieces every 10 minutes.  So how long would it take to finish both puzzles?,"How many minutes does it take to do a piece? ** His speed means he can do 10/100=<<10/100=.1>>.1 minute per piece
How many minutes does it take to finish 1 puzzle? ** So he can finish 1 puzzle in 2000*.1=<<2000*.1=200>>200 minutes
How many minutes do these two puzzles take? ** So these two puzzles take 200*2=<<200*2=400>>400 minutes
#### 400"
The city is holding its annual rubber duck race for charity.  The regular size rubber ducks are $3.00 each and the large size rubber duck is $5.00 each.  All of the rubber ducks will be dropped into the river at the same time and the first duck that floats across the finish line wins.  They sold 221 regular size ducks and 185 large size ducks.  How much money did the city raise for charity?,"How much money did the city make from selling the regular size ducks? ** They sold 221 regular size rubber ducks at $3.00 each so they made 221*3 = $<<221*3=663.00>>663.00
How much money did the city make from selling the large size ducks? ** They sold 185 large rubber ducks at $5.00 each so they made 185*5 = $<<185*5=925.00>>925.00
How much money did the city raise for charity? ** The regular size ducks brought in $663.00 and the large brought in $925.00 for a total of 663+925 = $<<663+925=1588.00>>1,588.00 for charity
#### 1588"
"Maddox and Theo both bought 3 Polaroid Cameras, each sold at $20 per camera from Amazon, and decided to sell them on eBay. Maddox sold his cameras at $28 each, while Theo sold his cameras at $23 each. How much more profit did Maddox get from the sale of his cameras than Theo?","How much did Maddox and Theo spend on the cameras? ** The total cost of buying 3 cameras from Amazon for both Maddox and Theo was 3*$20=$<<3*20=60>>60
How much did Maddox sell his cameras for? ** Maddox sold his cameras at $28 each, for a total of $28*3=$<<28*3=84>>84
How much profit did Maddox make? ** Maddox made a profit of $84-$60=$<<84-60=24>>24 from the sale of his cameras.
How much did Theo sell his cameras for? ** Theo sold his cameras on eBay for $23*3=$<<23*3=69>>69
How much profit did Theo make? ** Theo made a profit of $69-$60=$<<69-60=9>>9
How much more profit did Maddox make than Theo? ** Maddox made $24-$9=$15 more profit than Theo from the sale of his cameras.
#### 15"
Jack bought 55 apples. He wants to give 10 to his father and then equally share the remaining apples between him and his 4 friends. How many apples will each of them get?,"How many apples are remaining after Jack gave his father 10? ** The number of apples remaining after Jack gave his father 10 is 55 - 10 = <<55-10=45>>45.
How many apples will each of his friends including him get? ** The share each one of his friends including him will get is 45 / 5 = <<45/5=9>>9.
#### 9"
