question,answer
"Of the 90 people on William's bus, 3/5 were Dutch. Of the 1/2 of the Dutch who were also American, 1/3 got window seats. What's the number of Dutch Americans who sat at the windows?","On the bus, the number of Dutch people was 3/5 of the total number, a total of 3/5*90 = <<3/5*90=54>>54 people.
Out of the 54 people who were Dutch, 1/2 were Dutch Americans, a total of 1/2*54 = <<1/2*54=27>>27 people.
If 1/3 of the passengers on the bus identifying as Dutch Americans sat at the windows, their number is 1/3*27 = <<1/3*27=9>>9
#### 9"
"Viggo spent $80 on a shirt. He paid the shirt using $20 and $10 bills. If she gave the clerk one more $20 bill than $10 bills, how many $10 bills did he give?","Let x be the number of $10 bills.
So, there are (x + 1) $20 bills.
Adding the $10 and $20 bills should sum up to $80 so the equation is 10x + 20(x + 1) = 80.
Then, distribute 20 to x + 1 so it becomes 10x + 20x + 20 = 80.
Combining the like terms on the left side gives 30x + 20 = 80.
Then transfer 20 to the right side of the equation, so it becomes 30x = 60.
To solve for x, we have 60/30 = <<60/30=2>>2.
Therefore, there are 2 $10 bills.
#### 2"
Mark orders 100 chicken nuggets.  A 20 box of chicken nuggets cost $4.  How much did he pay for the chicken nuggets?,"He orders 100/20=<<100/20=5>>5 boxes
So that means he spent 5*4=$<<5*4=20>>20 on nuggets
#### 20"
"Carson is going to spend 4 hours at a carnival. The wait for the roller coaster is 30 minutes, the wait for the tilt-a-whirl is 60 minutes, and the wait for the giant slide is 15 minutes. If Carson rides the roller coaster 4 times and the tilt-a-whirl once, how many times can he ride the giant slide? (Wait times include the time actually spent on the ride.)","First figure out how many minutes Carson spends at the carnival by multiplying the number of hours he's there by the number of minutes per hour: 4 hours * 60 minutes/hour = <<4*60=240>>240 minutes
Then figure out how long Carson spends waiting for the roller coaster by multiplying the wait time per ride by the number of rides: 4 rides * 30 minutes/ride = <<4*30=120>>120 minutes
Now subtract the time Carson spends on the roller coaster and tilt-a-whirl from the total time he spends at the park to find out how much time he has left: 240 minutes - 120 minutes - 60 minutes = <<240-120-60=60>>60 minutes
Now divide the time Carson has left by the wait time for the giant slide to see how many times he can ride it: 60 minutes / 15 minutes/ride = <<60/15=4>>4 rides
#### 4"
"Rikki is writing and selling poetry. He sells his poems for $.01 a word. He can write 25 words of poetry in 5 minutes. If he has 2 hours to write poetry, how much can he expect to earn?","He will write for 120 hours because 2 x 60 = <<2*60=120>>120
He will write for 24 units of five minutes each because 120 / 5 = <<120/5=24>>24
He can write 600 words because 24 x 25 = <<24*25=600>>600
He can earn $6 because 600 x .01 = <<600*.01=6>>6
#### 6"
"Wilma has a garden with 3 types of flowers. The garden has 6 rows, with 13 flowers in each row. Wilma has 12 yellow flowers, two times more green flowers, and the rest consist of red flowers. How many red flowers does Wilma have?","The garden has space for 6 * 13 = <<6*13=78>>78 flowers in total.
Wilma has two times more green flowers than yellow flowers, which means she has 2 * 12 = <<2*12=24>>24 green flowers.
That leaves us with 78 - 24 - 12 = <<78-24-12=42>>42 red flowers in the garden.
#### 42"
"If Janet reads 80 pages a day and Belinda reads 30 pages a day, how many more pages does Janet read in 6 weeks?","First find the total number of days in 6 weeks: 6 weeks * 7 days/week = <<6*7=42>>42 days
Then find the total difference in the number of pages Janet and Belinda read each day: 80 pages/day - 30 pages/day = <<80-30=50>>50 pages/day
Then multiply the daily difference by the number of days to find the total difference in the number of pages they read: 50 pages/day * 42 days = <<50*42=2100>>2100 pages
#### 2100"
"A store marks a book 30% above the cost. But during a sale, a 10% discount was given. If the book costs $50, what is the percent profit?","The store made a $50 x 30/100 = $<<50*30/100=15>>15 profit for selling it 30% above the cost.
So, the book was sold for $50 + $15 = $<<50+15=65>>65.
During a sale, the book’s selling price decreased by $65 x 10/100 = $<<65*10/100=6.50>>6.50.
So, the book was sold for $65 - $6.50 = $<<65-6.5=58.50>>58.50.
There was $58.50 - $50 = $<<58.5-50=8.50>>8.50 profit after the discount.
Therefore, the percent profit is $8.50/$50 x 100% = <<8.5/50*100=17>>17%.
#### 17"
Stella collects stamps. She counted 50 pages in her collector's album. There are 5 rows of 30 stamps in each of the first 10 pages of her album. The rest of the pages each have 50 stamps. How many stamps are in Stella's album?,"There are 30 x 5 = <<30*5=150>>150 stamps on each of the first 10 pages.
So she has a total of 150 x 10 = <<150*10=1500>>1500 stamps in the first 10 pages.
There are 50 - 10 = <<50-10=40>>40 pages that have 50 stamps each.
There is a total of 40 x 50 = <<40*50=2000>>2000 stamps in the remaining 40 pages.
Therefore, Stella has 2000 + 1500 = <<2000+1500=3500>>3500 stamps in her album.
#### 3500"
"It takes Bryan 5 minutes to walk from his house to the bus station. Then he rides the bus for 20 minutes. After that, he walks 5 minutes from the bus station to his job. It takes the same amount of time in the morning and the evening. How many hours per year does Bryan spend traveling to and from work, if he works every day?","Bryan spends 5+20+5 =<<5+20+5=30>>30 minutes traveling to work.
He does this twice a day, so he spends 30*2=<<30*2=60>>60 minutes traveling per day.
Thus, he spends 60/60=<<60/60=1>>1 hour traveling to and from work every day.
Thus, he spends 1 hour*365 days =<<1*365=365>>365 hours traveling per year.
#### 365"
